id,num_words,score,date,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas
20200313,1832,0.2169261634803336,13032020,76.0,68.0
20200316,4924,0.4204696581998596,16032020,82.0,78.0
20200317,5271,0.256780869099109,17032020,86.0,89.0
20200318,4843,0.2767444035864394,18032020,54.0,69.0
20200319,6321,0.1684840802103281,19032020,60.0,60.0
20200320,2271,0.1089039137829904,20032020,99.0,81.0
20200323,5925,0.661114673666332,23032020,92.0,78.0
20200324,4394,0.4682188711477362,24032020,82.0,63.0
20200325,4376,0.1597050600758065,25032020,95.0,72.0
20200326,3737,0.5120801689702531,26032020,86.0,77.0
20200327,5114,0.331824694081493,27032020,91.0,63.0
20200330,4487,0.3028788524671741,30032020,72.0,72.0
20200331,4810,0.1717721636139828,31032020,80.0,71.0
20200401,1873,0.1690322238206863,01042020,,
20200402,3325,0.4790660324692725,02042020,,
20200403,2555,0.429631933932719,03042020,,
20200404,3020,0.0717064910317244,04042020,,
20200406,4596,0.639999140397362,06042020,,
20200407,3944,0.3135495106357595,07042020,,
20200408,4463,0.141728669155551,08042020,,
20200409,1719,0.0666269740462303,09042020,,
20200410,1611,0.3245679181943768,10042020,87.0,53.0
20200413,2832,0.1272334872186183,13042020,76.0,76.0
20200414,3549,0.4473337317614451,14042020,82.0,80.0
20200415,4568,0.1395665349001469,15042020,96.0,81.0
20200416,6404,0.2976073112112024,16042020,80.0,71.0
20200417,5333,0.3960090818158958,17042020,76.0,64.0
20200420,5737,0.6025737172753914,20042020,114.0,104.0
20200421,5282,0.1508933530845072,21042020,80.0,81.0
20200422,4991,0.4848830595094224,22042020,92.0,90.0
20200423,6069,0.2415693662963483,23042020,59.0,67.0
20200424,4619,0.7028219869214555,24042020,81.0,61.0
20200427,3780,0.2723846876038157,27042020,72.0,78.0
20200428,7029,0.4205453401674394,28042020,68.0,69.0
20200429,4721,0.2069917965842329,29042020,79.0,77.0
20200430,4567,0.1587293882376473,30042020,75.0,66.0
20200501,5879,0.2942190086712007,01052020,,
20200504,5606,0.4352474360751068,04052020,,
20200505,5731,0.170302987785443,05052020,,
20200506,4703,0.5107913141665251,06052020,,
20200507,5680,0.3642066497388093,07052020,,
20200508,3234,0.4114792748054732,08052020,,
20200511,4567,0.3616319356923517,11052020,72.0,76.0
20200512,3862,0.1938927369661953,12052020,70.0,73.0
20200513,3939,0.2988979281096354,13052020,86.0,68.0
20200514,4036,0.2567385200896988,14052020,84.0,80.0
20200515,4890,0.4699348577079565,15052020,91.0,85.0
20200518,5526,0.4327814139037028,18052020,84.0,75.0
20200519,6194,0.3643043872584467,19052020,68.0,80.0
20200520,5580,0.607292430685914,20052020,64.0,65.0
20200521,3424,0.3302525238174459,21052020,68.0,69.0
20200522,4916,0.1708921294659376,22052020,74.0,70.0
20200525,5151,0.1394794874217199,25052020,78.0,80.0
20200526,6595,0.3974307691921358,26052020,72.0,76.0
20200527,4100,0.3954852697965891,27052020,84.0,85.0
20200528,4021,0.2041716961659815,28052020,85.0,79.0
20200529,6502,0.3000107496523339,29052020,61.0,88.0
20200601,4622,0.3815759990331919,01062020,,
20200602,3159,0.4496959665547246,02062020,,
