id,num_words,score,dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas,nnet_score
20200512,3862,0.193892737,5/12/2020,70,73,0.364502858
20200513,3939,0.298897928,5/13/2020,86,68,0.163396135
20200514,4036,0.25673852,5/14/2020,84,80,0.332816107
20200515,4890,0.469934858,5/15/2020,91,85,0.425574946
20200518,5526,0.432781414,5/18/2020,84,75,0.493457471
20200519,6194,0.364304387,5/19/2020,68,80,0.398334606
20200520,5580,0.607292431,5/20/2020,64,65,0.47196855
20200521,3424,0.330252524,5/21/2020,68,69,0.470708887
20200522,4916,0.170892129,5/22/2020,74,70,0.410390388
20200525,5151,0.139479487,5/25/2020,78,80,0.621724221
20200526,6595,0.397430769,5/26/2020,72,76,0.508979646
20200527,4100,0.39548527,5/27/2020,84,85,0.306792318
20200528,4021,0.204171696,5/28/2020,85,79,0.441022878
20200529,6502,0.30001075,5/29/2020,61,88,0.306259578
20200601,4622,0.381575999,6/1/2020,67,87,0.31070129
20200602,3159,0.449695967,6/2/2020,71,73,0.223409027
20200603,4402,0.591525912,6/3/2020,77,73,0.248361316
20200604,4876,0.63853249,6/4/2020,79,74,0.547146793
20200605,4561,0.583924294,6/5/2020,60,69,0.261666982
20200608,4460,0.551121433,6/8/2020,96,102,0.426845416
20200609,5596,0.295265722,6/9/2020,73,76,0.434877337
20200610,3763,0.278985729,6/10/2020,75,81,0.432604059
20200611,4239,0.328135073,6/11/2020,77,78,0.39247059
20200612,5275,0.340893755,6/12/2020,85,77,0.60518291
20200615,5738,0.608365546,6/15/2020,66,79,0.587049545
20200616,4670,0.605598235,6/16/2020,85,87,0.319914138
20200617,4396,0.584886985,6/17/2020,85,77,0.497296018
20200618,6492,0.616406396,6/18/2020,81,82,0.532042646
20200619,4910,0.60543765,6/19/2020,71,60,0.392457786
20200622,4401,0.464399678,6/22/2020,89,102,0.526195605
20200623,4736,0.365268459,6/23/2020,52,62,0.337577258
20200624,5543,0.705194647,6/24/2020,74,70,0.430592628
20200625,4788,0.511248871,6/25/2020,79,90,0.458075138
20200626,3706,0.41700259,6/26/2020,83,84,0.441305341
20200629,3530,0.479522004,6/29/2020,92,77,0.340232881
20200630,4734,0.330385679,6/30/2020,73,69,0.381352477
20200701,3653,0.650498817,7/1/2020,92,110,0.363428333
20200702,2299,0.632659722,7/2/2020,68,66,0.269242608
20200703,3715,0.641619386,7/3/2020,98,74,0.430492247
20200706,4303,0.227798023,7/6/2020,90,74,0.300543754
20200707,4107,0.367509726,7/7/2020,62,68,0.37450439
20200710,3451,0.236122967,7/10/2020,87,73,0.261317411
20200713,4809,0.638637805,7/13/2020,87,87,0.468983738
20200714,3696,0.322597015,7/14/2020,69,70,0.307238833
20200715,4754,0.174712336,7/15/2020,82,76,0.530940456
20200716,4520,0.483830531,7/16/2020,73,88,0.45095745
20200717,4874,0.709739618,7/17/2020,74,73,0.533316523
20200720,3772,0.461665347,7/20/2020,79,90,0.386665252
20200721,4169,0.309196256,7/21/2020,83,89,0.262587265
20200722,6356,0.169448137,7/22/2020,92,94,0.479039836
20200723,3166,0.379234351,7/23/2020,69,93,0.396995884
20200724,5745,0.478601221,7/24/2020,89,82,0.442696163
20200728,5126,0.221090566,7/28/2020,74,81,0.320691545
20200729,4535,0.483896639,7/29/2020,72,67,0.454735851
20200730,4140,0.300120088,7/30/2020,69,60,0.431622161
20200731,4413,0.199499414,7/31/2020,84,69,0.276607078
20200803,4344,0.228219913,8/3/2020,75,78,0.278325091
20200804,3841,0.642562988,8/4/2020,73,76,0.286351873
20200805,4397,0.476658013,8/5/2020,70,71,0.34654864
20200806,4259,0.564796756,8/6/2020,76,65,0.422203119
20200807,4476,0.475766158,8/7/2020,91,79,0.389018235
20200810,4195,0.439891789,8/10/2020,81,74,0.510110147
20200811,4450,0.205220157,8/11/2020,79,73,0.345958955
20200812,4276,0.43138375,8/12/2020,68,73,0.480370922
20200813,4541,0.169037833,8/13/2020,84,64,0.280085541
20200814,5125,0.479010673,8/14/2020,65,70,0.39068224
20200817,4268,0.393277483,8/17/2020,76,95,0.479783322
20200818,4222,0.271458795,8/18/2020,66,80,0.280739043
20200819,4102,0.458562856,8/19/2020,81,102,0.490333571
20200820,6705,0.479946081,8/20/2020,80,80,0.581268994
20200821,3789,0.462520198,8/21/2020,69,74,0.406467026
20200824,5021,0.176612873,8/24/2020,83,109,0.553360057
20200825,4874,0.172282775,8/25/2020,101,102,0.426996956
20200826,5281,0.483699226,8/26/2020,101,84,0.452911554
20200827,6134,0.483425543,8/27/2020,70,85,0.603218644
20200828,5217,0.705337847,8/28/2020,81,76,0.43176166
20200831,3892,0.176641007,8/31/2020,88,92,0.440442502
20200902,3412,0.643330145,9/2/2020,69,77,0.362924315
20200903,4308,0.478476935,9/3/2020,85,78,0.415026401
20200904,4039,0.50278788,9/4/2020,90,73,0.522844394
20200907,5802,0.078742866,9/7/2020,64,93,0.526039894
20200908,7267,0.324742659,9/8/2020,71,74,0.353264453
20200909,5116,0.077778809,9/9/2020,78,66,0.475132332
20200910,4750,0.206699891,9/10/2020,87,76,0.571903049
20200911,4219,0.157892966,9/11/2020,79,79,0.453209877
20200914,3974,0.127603909,9/14/2020,75,78,0.420030515
20200915,4367,0.101437507,9/15/2020,76,71,0.338848462
