"month.x","year.x","median_nnet","mean_nnet","homicides_open","homicides_gov","median_words","mean_words","date","Indice Mensual","year.y","month.y","approves_mean","disapproves_mean","year","month","president_journalist_trend","violence_journalist_trend1","presidente_periodista_violencia_mx","violence_journalist_trend2"
7,2023,0.524325082548287,0.500840445486939,1288,1321,5142,5309.68421052632,2023-07-01,0.48,"2023",7,70.2,25.4,2023,7,30,55,55,54
8,2019,0.483605658321277,0.466770653058283,1801,1650,3962,3874.61904761905,2019-08-01,-0.02,"2019",8,70.6666666666667,23.5,2019,8,34,51,50,39
8,2020,0.42699695624735,0.42271133774556,1702,1658,4397,4638.52380952381,2020-08-01,0.39,"2020",8,58.875,33.75,2020,8,28,44,54,42
8,2021,0.510331965445176,0.486965725029415,1597,1686,4482,4352.27272727273,2021-08-01,0.19,"2021",8,63,32.5,2021,8,27,39,45,28
8,2022,0.429879566975262,0.437712739362946,1592,1701,5139,5183.86956521739,2022-08-01,0.7,"2022",8,60.75,34,2022,8,26,59,55,47
8,2023,0.505381859631642,0.514301495755799,1518,1612,5172,5154.08695652174,2023-08-01,0.55,"2023",8,66.1666666666667,29.6666666666667,2023,8,31,55,61,45
9,2019,0.435672130267257,0.433650138830037,1522,1351,3278,3237.22222222222,2019-09-01,0.26,"2019",9,68.75,25.25,2019,9,29,56,57,44
9,2020,0.464171104664388,0.463103150458116,1484,1506,4669.5,5021.05,2020-09-01,0.23,"2020",9,57.6666666666667,37.3333333333333,2020,9,32,54,54,37
9,2021,0.394762487916843,0.409708570885803,1321,1347,4045,4026.41176470588,2021-09-01,0.62,"2021",9,62.25,33.5,2021,9,29,51,48,32
9,2022,0.47272492909561,0.463471287283884,1458,1537,5081.5,5074.6,2022-09-01,0.62,"2022",9,56,42,2022,9,33,57,37,31
9,2023,0.456102942902109,0.471980810056263,835,943,4811,4666.76923076923,2023-09-01,0.44,"2023",9,66,30.3333333333333,2023,9,37,74,93,84
10,2019,0.389135825841323,0.398790863058715,1842,1761,3916,4035.34782608696,2019-10-01,0.54,"2019",10,72.5,24.5,2019,10,31,69,63,47
10,2020,0.357636958629541,0.370506704315366,1724,1671,3961,4167.40909090909,2020-10-01,0.61,"2020",10,63,33,2020,10,33,81,53,41
10,2021,0.464101678133011,0.444832963631595,1498,1546,4185,4250.90476190476,2021-10-01,0.84,"2021",10,60,38,2021,10,27,64,42,34
10,2022,0.496330860179403,0.476059757655267,1601,1655,5018,5177.95238095238,2022-10-01,0.57,"2022",10,58.5,39,2022,10,29,74,52,50
10,2023,0.480730213445166,0.496055809085252,1248,1294,5181,5180.47368421053,2023-10-01,0.38,"2023",10,69,25.3333333333333,2023,10,33,87,81,76
11,2019,0.409830247844043,0.405846357293751,1478,1528,3546.5,3598.5,2019-11-01,0.81,"2019",11,66.3333333333333,27.4444444444444,2019,11,33,79,71,54
11,2020,0.425042528905298,0.400838309338369,1647,1697,5026,4894.18181818182,2020-11-01,0.08,"2020",11,62.4285714285714,31.7142857142857,2020,11,80,78,74,49
11,2021,0.404795238433973,0.434437841662894,1226,1164,4546.5,4450.625,2021-11-01,1.14,"2021",11,64.4285714285714,30.5714285714286,2021,11,28,77,55,42
11,2022,0.48537544750649,0.470468582209223,1510,1411,5245,5364.66666666667,2022-11-01,0.58,"2022",11,61.8,32.2,2022,11,31,91,60,54
11,2023,0.409283969117248,0.43075517601979,1049,1159,5541,5661.11764705882,2023-11-01,0.64,"2023",11,65.6666666666667,30.5,2023,11,41,93,89,89
12,2019,0.414513102627319,0.380407019095626,1382,1494,3650,3676.73684210526,2019-12-01,0.56,"2019",12,70,29.3333333333333,2019,12,25,42,43,37
12,2020,0.342288834750652,0.376800014747781,1457,1482,4336,4153.66666666667,2020-12-01,0.38,"2020",12,60.3333333333333,35,2020,12,29,56,42,32
12,2021,0.381059852125852,0.390455898191558,1514,1577,4343,4302.77272727273,2021-12-01,0.36,"2021",12,67,29,2021,12,27,53,46,41
12,2022,0.473383042099683,0.462674824148255,1453,1483,5517,5180.8,2022-12-01,0.38,"2022",12,59.3333333333333,38.6666666666667,2022,12,26,62,43,37
12,2023,0.396729103080604,0.415034274959656,985,1118,5256,5228.94117647059,2023-12-01,0.71,"2023",12,71.8,23,2023,12,32,57,76,72
