"id","num_words","score","dates","homicides_gov","homicides_open","nnet_score"
20190926,2627,0.200070847,2019-09-26,81,88,0.445331492916397
20190927,1434,0.290759341,2019-09-27,75,82,0.241183247294115
20190930,5012,0.172656515,2019-09-30,65,78,0.608559905407221
20191001,5042,0.229144073,2019-10-01,81,86,0.525280725243299
20191002,3399,0.18335685,2019-10-02,88,76,0.538282047341699
20191003,3910,0.175566159,2019-10-03,87,81,0.526039072067841
20191004,3462,0.420217062,2019-10-04,61,73,0.22736030448714
20191007,4630,0.176428749,2019-10-07,77,72,0.514395561412625
20191008,3367,0.204483704,2019-10-08,86,80,0.346426879219387
20191009,3280,0.276582115,2019-10-09,80,96,0.264330945649873
20191010,4132,0.277166807,2019-10-10,78,75,0.430102589428425
20191011,2331,0.132053697,2019-10-11,75,72,0.389135825841323
20191014,7241,0.548935966,2019-10-14,93,93,0.283220953306426
20191015,1878,0.157852071,2019-10-15,87,97,0.337883421778679
20191016,4375,0.253342641,2019-10-16,103,86,0.445675688748774
20191017,3042,0.312201919,2019-10-17,60,64,0.349998733291159
20191018,3185,0.657021856,2019-10-18,71,75,0.289696945029756
20191021,4947,0.170302988,2019-10-21,79,121,0.278243593761454
20191022,4273,0.625436015,2019-10-22,78,95,0.490666195594746
20191023,3916,0.464291838,2019-10-23,74,90,0.452916605783545
20191024,3330,0.223271936,2019-10-24,82,76,0.311470326988593
20191025,3786,0.329437203,2019-10-25,52,67,0.31798367511967
20191028,3921,0.218109939,2019-10-28,77,74,0.507271764939246
20191029,6029,0.223396414,2019-10-29,78,81,0.417255333143732
20191030,4984,0.107995444,2019-10-30,62,56,0.355665071865787
20191031,4353,0.267947968,2019-10-31,52,56,0.572887590307256
20191101,4394,0.202617029,2019-11-01,50,57,0.476726734275403
20191104,4559,0.315385261,2019-11-04,73,87,0.457945095443207
20191105,3594,0.238389123,2019-11-05,89,94,0.330988815089931
20191106,3437,0.595490038,2019-11-06,97,92,0.410018057771351
20191107,3527,0.184707275,2019-11-07,68,75,0.387329854978167
20191108,2800,0.325033552,2019-11-08,68,67,0.390239190809105
20191111,2174,0.284593919,2019-11-11,87,65,0.287437822144964
20191112,2237,0.189557925,2019-11-12,65,68,0.173194291513899
20191113,2825,0.170111419,2019-11-13,60,68,0.342812588033469
20191114,5234,0.573768696,2019-11-14,86,77,0.558858085948488
20191115,2778,0.205845598,2019-11-15,87,68,0.390477778432162
20191118,3566,0.27885369,2019-11-18,69,63,0.409642437916735
20191119,3732,0.250502026,2019-11-19,101,78,0.455696897545586
20191121,5387,0.566189163,2019-11-21,82,74,0.625197603611842
20191122,3395,0.207449369,2019-11-22,73,58,0.484842296385247
20191125,3739,0.105611374,2019-11-25,83,90,0.444982833110768
20191126,3868,0.184613194,2019-11-26,90,77,0.421731817268807
20191127,3934,0.2027576,2019-11-27,60,80,0.403767026805359
20191128,3489,0.178073223,2019-11-28,65,69,0.416572110290113
20191129,3301,0.516692334,2019-11-29,75,71,0.248465808500414
20191202,3650,0.552940326,2019-12-02,77,80,0.414513102627319
20191203,4040,0.465752291,2019-12-03,73,67,0.325863821376925
20191204,3667,0.107390326,2019-12-04,90,84,0.428356177366298
20191205,5872,0.143150386,2019-12-05,77,83,0.463582153877486
20191206,3264,0.245808452,2019-12-06,88,63,0.416913721716922
20191209,5285,0.535166194,2019-12-09,79,70,0.552411286260771
20191210,3066,0.242570192,2019-12-10,80,69,0.375485935418502
20191211,2943,0.221878604,2019-12-11,73,73,0.3839747972916
20191212,3694,0.22659068,2019-12-12,63,62,0.278109351513178
20191213,2875,0.292864927,2019-12-13,96,81,0.425860346426134
20191216,3496,0.199925444,2019-12-16,75,71,0.302768339760925
20191217,4208,0.138568352,2019-12-17,77,74,0.469035073415093
20191218,2522,0.040636486,2019-12-18,80,62,0.0406364858807709
20191219,4414,0.683360121,2019-12-19,94,101,0.416984381714593
20191220,4715,0.348873019,2019-12-20,65,76,0.547577684275482
20191223,4525,0.364105182,2019-12-23,93,87,0.485380733790605
20191224,2667,0.193174742,2019-12-24,61,54,0.378100472805293
20191226,1749,0.315742408,2019-12-26,86,75,0.12664045424565
20191227,3206,0.093798981,2019-12-27,67,50,0.395539043053337
20200102,3797,0.774374368,2020-01-02,59,69,0.447649469764336
20200103,2242,0.331585167,2020-01-03,74,78,0.383112163828767
20200106,4875,0.273193753,2020-01-06,68,63,0.447985090069149
20200107,4144,0.551890822,2020-01-07,77,65,0.34197101160236
20200108,3845,0.17412713,2020-01-08,71,76,0.518438452767289
20200109,3634,0.206991797,2020-01-09,93,80,0.34621851152052
20200110,3501,0.593018054,2020-01-10,82,61,0.380513602767302
20200113,5194,0.182136579,2020-01-13,86,106,0.182136578995831
20200114,4127,0.203027245,2020-01-14,62,82,0.393287849594717
20200115,5241,0.618225289,2020-01-15,82,101,0.670921141855095
20200116,5477,0.174275865,2020-01-16,86,100,0.212418622436083
20200117,3111,0.565471873,2020-01-17,75,89,0.289663406493871
20200120,3861,0.175430874,2020-01-20,66,73,0.57018300988104
20200121,3999,0.309701331,2020-01-21,93,79,0.296229940516793
20200122,4001,0.364105182,2020-01-22,86,73,0.49451866324829
20200123,5141,0.384088188,2020-01-23,70,65,0.336510015797356
20200124,3231,0.202209237,2020-01-24,86,84,0.412987011139807
20200127,3879,0.503762495,2020-01-27,79,83,0.497542535235052
20200128,3202,0,2020-01-28,87,90,0
20200129,4401,0.467989035,2020-01-29,78,84,0.722227818434653
20200130,4247,0.407752944,2020-01-30,67,66,0.316776405300783
20200131,4214,0.636631719,2020-01-31,58,67,0.450174551476603
20200203,1320,0.113313269,2020-02-03,90,89,0.221760382198769
20200204,4805,0.326561582,2020-02-04,83,77,0.408015789558058
20200205,3498,0.107579009,2020-02-05,75,93,0.285011711418629
20200206,3488,0.370989158,2020-02-06,62,70,0.379724301812441
20200207,4036,0.275718688,2020-02-07,81,70,0.356566970672296
20200210,4112,0.585169155,2020-02-10,80,83,0.551281607345394
20200211,4017,0.17000189,2020-02-11,78,74,0.308051745787911
20200212,2119,0.184834909,2020-02-12,69,78,0.283425943657108
20200213,4086,0.160127522,2020-02-13,75,61,0.482448608201483
20200214,2669,0.513403972,2020-02-14,82,76,0.299657567136961
20200217,4199,0.618779056,2020-02-17,96,83,0.469219329784746
20200218,3758,0.314159284,2020-02-18,71,73,0.374555901833202
20200219,3052,0.16006695,2020-02-19,96,97,0.350157938547756
